# name, allowedP, trueP, n, [sentinel], time
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 16, 5.08428, 0.000120102
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 19, 3.74151, 0.000341824
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 22, 2.7268, 9.3305e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 26, 3.69267, 6.7381e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 32, 5.12512, 6.0395e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 38, 10.1649, 0.000172243
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 45, 4.59897, 0.000140645
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 53, 6.24848, 0.000178407
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 64, 8.48267, 0.000235884
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 76, 0.649002, 0.000312828
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 90, 6.17745, 0.000286673
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 107, 4.0058, 0.000342422
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 128, 6.99139, 0.000328775
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 152, 12.8346, 0.000606161
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 181, 3.00734, 0.000573926
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 215, 3.89364, 0.000693352
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 256, 7.77228, 0.00076151
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 304, 6.2474, 0.0135373
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 362, 12.3514, 0.000275933
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 430, 11.1336, 0.000337836
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 512, 6.38456, 0.0003132
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 608, 18.3453, 0.000315875
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 724, 6.05831, 0.000323283
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 861, 5.95193, 0.00179145
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1024, 15.0743, 0.000362421
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1217, 25.349, 0.000387598
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1448, 22.9566, 0.000374982
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1722, 15.9214, 0.000462725
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2048, 50.2559, 0.000446904
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2435, 31.2571, 0.000799325
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2896, 13.6187, 0.000814148
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 3444, 16.7054, 0.000973824
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4096, 41.5433, 0.000983198
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4870, 84.8676, 0.00174872
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 5792, 20.4682, 0.00177134
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 6888, 44.0272, 0.00522678
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 8192, 105.398, 0.00234753
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 9741, 50.2525, 0.00357976
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 11585, 102.396, 0.0036222
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 13777, 48.408, 0.00411217
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 16384, 83.2001, 0.00386384
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 19483, 75.1435, 0.00653708
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 23170, 57.7327, 0.00675836
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 27554, 131.97, 0.00790757
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 32768, 114.539, 0.00799107
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 38967, 204.035, 0.0132371
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 46340, 106.822, 0.0150647
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 55108, 91.965, 0.0162428
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 65536, 61.2098, 0.015643
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 77935, 232.701, 0.0273801
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 92681, 34.833, 0.0290119
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 110217, 158.456, 0.0336688
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 131072, 343.686, 0.0323803
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 155871, 106.199, 0.0608289
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 185363, 146.588, 0.0669162
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 220435, 118.499, 0.0708644
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 262144, 313.594, 0.0753337
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 311743, 382.887, 0.120686
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 370727, 280.517, 0.125076
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 440871, 118.337, 0.144649
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 524288, 309.047, 0.146356
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 623487, 655.52, 0.261693
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 741455, 96.6169, 0.270734
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 881743, 161.942, 0.317742
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1048576, 550.877, 0.323723
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1246974, 103.408, 0.552732
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1482910, 265.466, 0.575197
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1763487, 1022.81, 0.662121
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2097152, 1672.13, 0.68553
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2493948, 1085.24, 1.12369
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2965820, 473.371, 1.19041
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 3526975, 836.634, 1.38876
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4194304, 1679.33, 1.34796
